lemma,past,present_phones,past_phones
anglicize,anglicized,AE NG L IH S AY Z,AE NG L IH S AY Z D
sow,sowed,S AW,S AW D
synthesize,synthesized,S IH N TH AH S AY Z,S IH N TH IH S AY Z D
check,checked,CH EH K,CH EH K T
sentence,sentenced,S EH N T AH N S,S EH N T AH N S T
merce,merced,M ER S,M ER S T
attack,attacked,AH T AE K,AH T AE K T
implode,imploded,IH M P L OW D,IH M P L OW D IH D
legalize,legalized,L IY G AH L AY Z,L IY G AH L AY Z D
slim,slimmed,S L IH M,S L IH M D
infringe,infringed,IH N F R IH N JH,IH N F R IH N JH D
demote,demoted,D IH M OW T,D IH M OW T IH D
ping,pinged,P IH NG,P IH NG D
adhere,adhered,AH D HH IH R,AE D HH IH R D
vandalize,vandalized,V AE N D AH L AY Z,V AE N D AH L AY Z D
shimmer,shimmered,SH IH M ER,SH IH M ER D
flaw,flawed,F L AO,F L AO D
spatter,spattered,S P AE T ER,S P AE T ER D
furbish,furbished,F ER B IH SH,F ER B IH SH T
gyrate,gyrated,JH AY R EY T,JH AY R EY T IH D
level,leveled,L EH V AH L,L EH V AH L D
emaciate,emaciated,IH M EY SH IY EY T,IH M EY SH IY EY T IH D
erect,erected,IH R EH K T,IH R EH K T AH D
indemnify,indemnified,IH N D EH M N AH F AY,IH N D EH M N AH F AY D
stumble,stumbled,S T AH M B AH L,S T AH M B AH L D
berate,berated,B IH R EY T,B IH R EY T IH D
rear,reared,R IH R,R IH R D
cook,cooked,K UH K,K UH K T
dare,dared,D EH R,D EH R D
build,built,B IH L D,B IH L T
outcast,outcast,AW T K AE S T,AW T K AE S T
lunch,lunched,L AH N CH,L AH N CH T
screen,screened,S K R IY N,S K R IY N D
tint,tinted,T IH N T,T IH N T IH D
scorch,scorched,S K AO R CH,S K AO R CH T
showcase,showcased,SH OW K EY S,SH OW K EY S T
curtail,curtailed,K ER T EY L,K ER T EY L D
eulogize,eulogized,Y UW L AH JH AY Z,Y UW L AH JH AY Z D
wet,wet,W EH T,W EH T
revere,revered,R IH V IH R,R IH V IH R D
allude,alluded,AH L UW D,AH L UW D IH D
notch,notched,N AA CH,N AA CH T
gun,gunned,G AH N,G AH N D
decontrol,decontrolled,D IY K AH N T R OW L,D IY K AH N T R OW L D
conn,conned,K AA N,K AA N D
saint,sainted,S EY N T,S EY N T IH D
sketch,sketched,S K EH CH,S K EH CH T
aggregate,aggregated,AE G R AH G AH T,AE G R AH G EY T IH D
dispute,disputed,D IH S P Y UW T,D IH S P Y UW T AH D
invite,invited,IH N V AY T,IH N V AY T AH D
polish,polished,P AA L IH SH,P AA L IH SH T
menace,menaced,M EH N AH S,M EH N AH S T
summons,summonsed,S AH M AH N Z,S AH M AH N Z D
walk,walked,W AO K,W AO K T
concur,concurred,K AH N K ER,K AH N K ER D
zag,zagged,Z AE G,Z AE G D
accompany,accompanied,AH K AH M P AH N IY,AH K AH M P AH N IY D
clue,clued,K L UW,K L UW D
sabotage,sabotaged,S AE B AH T AA ZH,S AE B AH T AA ZH D
recover,recovered,R IH K AH V ER,R AH K AH V ER D
goad,goaded,G OW D,G OW D IH D
foretell,foretold,F AO R T EH L,F AO R T OW L D
overthrow,overthrew,OW V ER TH R OW,OW V ER TH R UW
swathe,swathed,S W AA DH,S W AA DH D
tier,tiered,T IY R,T IY R D
exercise,exercised,EH K S ER S AY Z,EH K S ER S AY Z D
laminate,laminated,L AE M AH N AH T,L AE M AH N EY T AH D
advise,advised,AE D V AY Z,AE D V AY Z D
extol,extolled,IH K S T OW L,IH K S T OW L D
trash,trashed,T R AE SH,T R AE SH T
ensnare,ensnared,IH N S N EH R,IH N S N EH R D
leave,left,L IY V,L EH F T
provoke,provoked,P R AH V OW K,P R AH V OW K T
peg,pegged,P EH G,P EH G D
onset,onset,AA N S EH T,AA N S EH T
call,called,K AO L,K AO L D
confound,confounded,K AA N F AW N D,K AH N F AW N D IH D
bellow,bellowed,B EH L OW,B EH L OW D
counteract,counteracted,K AW N T ER AE K T,K AW N T ER AE K T IH D
understand,understood,AH N D ER S T AE N D,AH N D ER S T UH D
craze,crazed,K R EY Z,K R EY Z D
rethink,rethought,R IY TH IH NG K,R IY TH AO T
kidnap,kidnapped,K IH D N AE P,K IH D N AE P T
personalize,personalized,P ER S AH N AH L AY Z,P ER S AH N AH L AY Z D
bill,billed,B IH L,B IH L D
damn,damned,D AE M,D AE M D
enamel,enameled,IH N AE M AH L,IH N AE M AH L D
quantify,quantified,K W AA N T IH F AY,K W AA N T IH F AY D
acquit,acquitted,AH K W IH T,AH K W IH T IH D
gnarl,gnarled,N AA R L,N AA R L D
chastise,chastised,CH AE S T AY Z,CH AE S T AY Z D
squeeze,squeezed,S K W IY Z,S K W IY Z D
award,awarded,AH W AO R D,AH W AO R D IH D
repay,repaid,R IY P EY,R IY P EY D
white,whited,W AY T,W AY T IH D
counterattack,counterattacked,K AW N T ER AH T AE K,K AW N T ER AH T AE K T
shirk,shirked,SH ER K,SH ER K T
transfuse,transfused,T R AE N S F Y UW Z,T R AE N S F Y UW Z D
tote,toted,T OW T,T OW T IH D
freak,freaked,F R IY K,F R IY K T
sandbag,sandbagged,S AE N D B AE G,S AE N D B AE G D
scream,screamed,S K R IY M,S K R IY M D
have,had,HH AE V,HH AE D
graft,grafted,G R AE F T,G R AE F T IH D
rock,rocked,R AA K,R AA K T
place,placed,P L EY S,P L EY S T
rebut,rebutted,R IH B AH T,R IH B AH T IH D
renege,reneged,R IH N IH G,R IH N IH G D
compose,composed,K AH M P OW Z,K AH M P OW Z D
converge,converged,K AH N V ER JH,K AH N V ER JH D
sprain,sprained,S P R EY N,S P R EY N D
panelize,panelized,P AE N AH L AY Z,P AE N AH L AY Z D
drop,dropped,D R AA P,D R AA P T
gallop,galloped,G AE L AH P,G AE L AH P T
replicate,replicated,R EH P L AH K EY T,R EH P L IH K EY T IH D
remark,remarked,R IH M AA R K,R IH M AA R K T
trickle,trickled,T R IH K AH L,T R IH K AH L D
immerse,immersed,IH M ER S,IH M ER S T
pollinate,pollinated,P AA L AH N EY T,P AA L IH N EY T IH D
stack,stacked,S T AE K,S T AE K T
saw,sawed,S AO,S AO D
steamroller,steamrollered,S T IY M R OW L ER,S T IY M R OW L ER D
revalue,revalued,R IY V AE L Y UW,R IY V AE L Y UW D
embattle,embattled,EH M B AE T AH L,EH M B AE T AH L D
ask,asked,AE S K,AE S K T
espouse,espoused,IH S P AW Z,IH S P AW Z D
scotch,scotched,S K AA CH,S K AA CH T
bank,banked,B AE NG K,B AE NG K T
nominate,nominated,N AA M AH N AH T,N AA M AH N EY T AH D
skirt,skirted,S K ER T,S K ER T IH D
inter,interred,IH N T ER,IH N T ER D
cease,ceased,S IY S,S IY S T
repost,reposted,R IY P OW S T,R IY P OW S T IH D
mark,marked,M AA R K,M AA R K T
privatize,privatized,P R IH V AH T AY Z,P R AY V AH T AY Z D
engineer,engineered,EH N JH AH N IH R,EH N JH AH N IY R D
photograph,photographed,F OW T AH G R AE F,F OW T AH G R AE F T
palpitate,palpitated,P AE L P AH T EY T,P AE L P AH T EY T IH D
assassinate,assassinated,AH S AE S AH N EY T,AH S AE S AH N EY T IH D
mingle,mingled,M IH NG G AH L,M IH NG G AH L D
pester,pestered,P EH S T ER,P EH S T ER D
faint,fainted,F EY N T,F EY N T IH D
pad,padded,P AE D,P AE D IH D
floor,floored,F L AO R,F L AO R D
testify,testified,T EH S T AH F AY,T EH S T AH F AY D
incinerate,incinerated,IH N S IH N ER EY T,IH N S IH N ER EY T IH D
negate,negated,N IH G EY T,N IY G EY T IH D
envisage,envisaged,EH N V IH Z IH JH,EH N V IH Z IH JH D
survey,surveyed,S ER V EY,S ER V EY D
interdict,interdicted,IH N T ER D IH K T,IH N T ER D IH K T IH D
stow,stowed,S T OW,S T OW D
gyp,gypped,JH IH P,JH IH P T
oscillate,oscillated,AA S AH L EY T,AA S AH L EY T AH D
dovetail,dovetailed,D AH V T EY L,D AH V T EY L D
mask,masked,M AE S K,M AE S K T
commit,committed,K AH M IH T,K AH M IH T IH D
fay,fayed,F EY,F EY D
hamper,hampered,HH AE M P ER,HH AE M P ER D
whirl,whirled,W ER L,W ER L D
nose,nosed,N OW Z,N OW Z D
assimilate,assimilated,AH S IH M AH L EY T,AH S IH M AH L EY T IH D
answer,answered,AE N S ER,AE N S ER D
scuff,scuffed,S K AH F,S K AH F T
square,squared,S K W EH R,S K W EH R D
rewrite,rewrote,R IY R AY T,R IY R OW T
audit,audited,AO D IH T,AO D IH T IH D
comment,commented,K AA M EH N T,K AA M EH N T AH D
martyr,martyred,M AA R T ER,M AA R T ER D
burn,burned,B ER N,B ER N D
labell,labelled,L AH B EH L,L EY B AH L D
tinker,tinkered,T IH NG K ER,T IH NG K ER D
renew,renewed,R IH N UW,R IH N UW D
think,thought,TH IH NG K,TH AO T
cough,coughed,K AA F,K AO F T
prescribe,prescribed,P R AH S K R AY B,P R IY S K R AY B D
ear,eared,IY R,IH R D
cringe,cringed,K R IH N JH,K R IH N JH D
downsize,downsized,D AW N S AY Z,D AW N S AY Z D
gamble,gambled,G AE M B AH L,G AE M B AH L D
blunt,blunted,B L AH N T,B L AH N T AH D
remove,removed,R IY M UW V,R IY M UW V D
rarefy,rarefied,R EH R AH F AY,R EH R AH F AY D
clinch,clinched,K L IH N CH,K L IH N CH T
obliterate,obliterated,AH B L IH T ER EY T,AH B L IH T ER EY T IH D
abrogate,abrogated,AE B R AH G EY T,AE B R AH G EY T IH D
quadruple,quadrupled,K W AA D R UW P AH L,K W AA D R UW P AH L D
impound,impounded,IH M P AW N D,IH M P AW N D IH D
intone,intoned,IH N T OW N,IH N T OW N D
challenge,challenged,CH AE L AH N JH,CH AE L AH N JH D
plump,plumped,P L AH M P,P L AH M P T
avail,availed,AH V EY L,AH V EY L D
meet,met,M IY T,M EH T
retrieve,retrieved,R IH T R IY V,R IY T R IY V D
parade,paraded,P ER EY D,P ER EY D IH D
enmesh,enmeshed,EH N M EH SH,EH N M EH SH T
introduce,introduced,IH N T R AH D UW S,IH N T R AH D UW S T
squash,squashed,S K W AA SH,S K W AA SH T
ice,iced,AY S,AY S T
struggle,struggled,S T R AH G AH L,S T R AH G AH L D
fuss,fussed,F AH S,F AH S T
trend,trended,T R EH N D,T R EH N D IH D
flowe,flowed,F L OW,F L OW D
yawn,yawned,Y AO N,Y AO N D
sell,sold,S EH L,S OW L D
rename,renamed,R IY N EY M,R IY N EY M D
lubricate,lubricated,L UW B R IH K EY T,L UW B R AH K EY T IH D
dignify,dignified,D IH G N AH F AY,D IH G N AH F AY D
claw,clawed,K L AO,K L AO D
juxtapose,juxtaposed,JH AH K S T AH P OW Z,JH AH K S T AH P OW Z D
grain,grained,G R EY N,G R EY N D
sneak,sneaked,S N IY K,S N IY K T
reprice,repriced,R IY P R AY S,R IY P R AY S T
fumble,fumbled,F AH M B AH L,F AH M B AH L D
dismiss,dismissed,D IH S M IH S,D IH S M IH S T
transfix,transfixed,T R AE N S F IH K S,T R AE N S F IH K S T
back,backed,B AE K,B AE K T
drip,dripped,D R IH P,D R IH P T
sensitize,sensitized,S EH N S AH T AY Z,S EH N S AH T AY Z D
begin,began,B IH G IH N,B IH G AE N
nauseate,nauseated,N AO Z IY EY T,N AO Z IY EY T AH D
amend,amended,AH M EH N D,AH M EH N D IH D
provide,provided,P R AH V AY D,P R AH V AY D IH D
toy,toyed,T OY,T OY D
beat,beat,B IY T,B IY T
patronize,patronized,P EY T R AH N AY Z,P EY T R AH N AY Z D
postulate,postulated,P AA S CH AH L EY T,P AA S CH AH L EY T IH D
hack,hacked,HH AE K,HH AE K T
aim,aimed,EY M,EY M D
flag,flagged,F L AE G,F L AE G D
convene,convened,K AH N V IY N,K AH N V IY N D
grade,graded,G R EY D,G R EY D AH D
verse,versed,V ER S,V ER S T
disparage,disparaged,D IH S P EH R IH JH,D IH S P EH R IH JH D
sap,sapped,S AE P,S AE P T
gore,gored,G AO R,G AO R D
readmit,readmitted,R IY AH D M IH T,R IY AH D M IH T IH D
foment,fomented,F OW M EH N T,F OW M EH N T IH D
silhouette,silhouetted,S IH L AH W EH T,S IH L AH W EH T IH D
describe,described,D IH S K R AY B,D IH S K R AY B D
bed,bedded,B EH D,B EH D IH D
renounce,renounced,R IH N AW N S,R IH N AW N S T
fate,fated,F EY T,F EY T IH D
force,forced,F AO R S,F AO R S T
weld,welded,W EH L D,W EH L D IH D
tender,tendered,T EH N D ER,T EH N D ER D
puzzle,puzzled,P AH Z AH L,P AH Z AH L D
throng,thronged,TH R AO NG,TH R AO NG D
bludgeon,bludgeoned,B L AH JH AH N,B L AH JH AH N D
focus,focused,F OW K AH S,F OW K AH S T
perforate,perforated,P ER F ER EY T,P ER F ER EY T IH D
mortgage,mortgaged,M AO R G AH JH,M AO R G IH JH D
nick,nicked,N IH K,N IH K T
reflag,reflagged,R IY F L AE G,R IY F L AE G D
pillage,pillaged,P IH L IH JH,P IH L IH JH D
react,reacted,R IY AE K T,R IY AE K T IH D
adulterate,adulterated,AH D AH L T ER EY T,AH D AH L T ER EY T IH D
flicker,flickered,F L IH K ER,F L IH K ER D
recuse,recused,R IH K Y UW Z,R IH K Y UW Z D
nail,nailed,N EY L,N EY L D
stir,stirred,S T ER,S T ER D
oversupply,oversupplied,OW V ER S AH P L AY,OW V ER S AH P L AY D
announce,announced,AH N AW N S,AH N AW N S T
caddie,caddied,K AE D IY,K AE D IY D
stagger,staggered,S T AE G ER,S T AE G ER D
torture,tortured,T AO R CH ER,T AO R CH ER D
squabble,squabbled,S K W AA B AH L,S K W AA B AH L D
guest,guested,G EH S T,G EH S T IH D
radiate,radiated,R EY D IY AH T,R EY D IY EY T IH D
dogear,dogeared,D AA G IY R,D AA G IY R D
scout,scouted,S K AW T,S K AW T IH D
dope,doped,D OW P,D OW P T
rearrange,rearranged,R IY ER EY N JH,R IY ER EY N JH D
ponder,pondered,P AA N D ER,P AA N D ER D
shield,shielded,SH IY L D,SH IY L D IH D
deprecate,deprecated,D EH P R AH K EY T,D EH P R AH K EY T AH D
classify,classified,K L AE S AH F AY,K L AE S AH F AY D
bloat,bloated,B L OW T,B L OW T IH D
outfox,outfoxed,AW T F AA K S,AW T F AA K S T
crisscross,crisscrossed,K R IH S K R AO S,K R IH S K R AO S T
conclude,concluded,K AH N K L UW D,K AH N K L UW D AH D
indite,indited,IH N D AY T,IH N D AY T IH D
sum,summed,S AH M,S AH M D
annex,annexed,AE N EH K S,AE N EH K S T
stoke,stoked,S T OW K,S T OW K T
herald,heralded,HH EH R AH L D,HH EH R AH L D IH D
furnish,furnished,F ER N IH SH,F ER N IH SH T
writhe,writhed,R IH TH,R IH TH D
stun,stunned,S T AH N,S T AH N D
aggravate,aggravated,AE G R AH V EY T,AE G R AH V EY T IH D
cliche,cliched,K L IY SH EY,K L IY SH EY D
court,courted,K AO R T,K AO R T IH D
prepay,prepaid,P R IY P EY,P R IY P EY D
face,faced,F EY S,F EY S T
mope,moped,M OW P,M OW P T
homogenize,homogenized,HH OW M AA JH AH N AY Z,HH OW M AA JH AH N AY Z D
solve,solved,S AA L V,S AA L V D
function,functioned,F AH NG K SH AH N,F AH NG K SH AH N D
fledge,fledged,F L EH JH,F L EH JH D
overdraw,overdrew,OW V ER D R AO,OW V ER D R UW
benefit,benefited,B EH N AH F IH T,B EH N AH F IH T IH D
trace,traced,T R EY S,T R EY S T
discourage,discouraged,D IH S K ER IH JH,D IH S K ER AH JH D
exit,exited,EH G Z IH T,EH G Z AH T IH D
perjure,perjured,P ER JH ER,P ER JH ER D
shrug,shrugged,SH R AH G,SH R AH G D
handcuff,handcuffed,HH AE N D K AH F,HH AE N D K AH F T
strive,strove,S T R AY V,S T R OW V
revert,reverted,R IH V ER T,R IH V ER T IH D
redo,redid,R IY D UW,R IY D IH D
recheck,rechecked,R IY CH EH K,R IY CH EH K T
certify,certified,S ER T AH F AY,S ER T AH F AY D
release,released,R IY L IY S,R IY L IY S T
lament,lamented,L AH M EH N T,L AH M EH N T IH D
outspend,outspent,AW T S P EH N D,AW T S P EH N T
space,spaced,S P EY S,S P EY S T
repossess,repossessed,R IY P AH Z EH S,R IY P AH Z EH S T
reimpose,reimposed,R IY IH M P OW Z,R IY IH M P OW Z D
dimple,dimpled,D IH M P AH L,D IH M P AH L D
edge,edged,EH JH,EH JH D
submerge,submerged,S AH B M ER JH,S AH B M ER JH D
crane,craned,K R EY N,K R EY N D
buckle,buckled,B AH K AH L,B AH K AH L D
categorize,categorized,K AE T AH G ER AY Z,K AE T AH G ER AY Z D
agonize,agonized,AE G AH N AY Z,AE G AH N AY Z D
divulge,divulged,D IH V AH L JH,D IH V AH L JH D
escape,escaped,IH S K EY P,IH S K EY P T
enfeeble,enfeebled,EH N F IY B AH L,EH N F IY B AH L D
parry,parried,P EH R IY,P EH R IY D
round,rounded,R AW N D,R AW N D AH D
radicalize,radicalized,R AE D IH K AH L AY Z,R AE D IH K AH L AY Z D
outsell,outsold,AW T S EH L,AW T S OW L D
lip,lipped,L IH P,L IH P T
fertilize,fertilized,F ER T AH L AY Z,F ER T AH L AY Z D
demean,demeaned,D IH M IY N,D IH M IY N D
pay,paid,P EY,P EY D
ratchet,ratcheted,R AE CH AH T,R AE CH AH T IH D
extrude,extruded,IH K S T R UW D,IH K S T R UW D AH D
pine,pined,P AY N,P AY N D
bypass,bypassed,B AY P AE S,B AY P AE S T
lecture,lectured,L EH K CH ER,L EH K CH ER D
forsake,forsook,F AO R S EY K,F AO R S UH K
varnish,varnished,V AA R N IH SH,V AA R N IH SH T
exclaim,exclaimed,IH K S K L EY M,IH K S K L EY M D
chick,chicked,CH IH K,CH IH K T
relinquish,relinquished,R IH L IH NG K W IH SH,R IH L IH NG K W IH SH T
regenerate,regenerated,R IY JH EH N ER EY T,R IY JH EH N ER EY T IH D
egge,egged,EH G,EH G D
widow,widowed,W IH D OW,W IH D OW D
split,split,S P L IH T,S P L IH T
incur,incurred,IH N K ER,IH N K ER D
pit,pitted,P IH T,P IH T IH D
label,labelled,L EY B AH L,L EY B AH L D
blockade,blockaded,B L AA K EY D,B L AA K EY D IH D
use,used,Y UW S,Y UW Z D
limit,limited,L IH M AH T,L IH M AH T AH D
telegraph,telegraphed,T EH L AH G R AE F,T EH L AH G R AE F T
issue,issued,IH SH UW,IH SH UW D
comprise,comprised,K AH M P R AY Z,K AH M P R AY Z D
worth,worth,W ER TH,W ER TH
drill,drilled,D R IH L,D R IH L D
repress,repressed,R IY P R EH S,R IY P R EH S T
retry,retried,R IY T R AY,R IY T R AY D
catalogue,catalogued,K AE T AH L AO G,K AE T AH L AO G D
like,liked,L AY K,L AY K T
maul,mauled,M AO L,M AO L D
snort,snorted,S N AO R T,S N AO R T IH D
invoke,invoked,IH N V OW K,IH N V OW K T
baffle,baffled,B AE F AH L,B AE F AH L D
lib,libbed,L IH B,L IH B D
nip,nipped,N IH P,N IH P T
rent,rented,R EH N T,R EH N T IH D
acquire,acquired,AH K W AY ER,AH K W AY ER D
blade,bladed,B L EY D,B L EY D IH D
photocopy,photocopied,F OW T OW K AA P IY,F OW T OW K AA P IY D
flannel,flanneled,F L AE N AH L,F L AE N AH L D
side,sided,S AY D,S AY D IH D
dream,dreamed,D R IY M,D R IY M D
grace,graced,G R EY S,G R EY S T
mount,mounted,M AW N T,M AW N T AH D
total,totalled,T OW T AH L,T OW T AH L D
illustrate,illustrated,IH L AH S T R EY T,IH L AH S T R EY T AH D
overcast,overcast,OW V ER K AE S T,OW V ER K AE S T
venerate,venerated,V EH N ER EY T,V EH N ER EY T IH D
wattle,wattled,W AA T AH L,W AA T AH L D
elevate,elevated,EH L AH V EY T,EH L AH V EY T IH D
dement,demented,D AH M EH N T,D IH M EH N T IH D
dance,danced,D AE N S,D AE N S T
grasp,grasped,G R AE S P,G R AE S P T
venture,ventured,V EH N CH ER,V EH N CH ER D
desiccate,desiccated,D EH S AH K EY T,D EH S AH K EY T AH D
videotape,videotaped,V IH D IY OW T EY P,V IH D IY OW T EY P T
hike,hiked,HH AY K,HH AY K T
de,did,D IY,D IH D
axe,axed,AE K S,AE K S T
overpay,overpaid,OW V ER P EY,OW V ER P EY D
appease,appeased,AH P IY Z,AH P IY Z D
shutter,shuttered,SH AH T ER,SH AH T ER D
frizzle,frizzled,F R IH Z AH L,F R IH Z AH L D
marinate,marinated,M EH R AH N EY T,M EH R AH N EY T IH D
parole,paroled,P ER OW L,P ER OW L D
frazzle,frazzled,F R AE Z AH L,F R AE Z AH L D
forgive,forgave,F ER G IH V,F ER G EY V
boot,booted,B UW T,B UW T IH D
undress,undressed,AH N D R EH S,AH N D R EH S T
buoy,buoyed,B UW IY,B UW IY D
tattoo,tattooed,T AE T UW,T AE T UW D
globalize,globalized,G L OW B AH L AY Z,G L OW B AH L AY Z D
decipher,deciphered,D IH S AY F ER,D IH S AY F ER D
manhandle,manhandled,M AE N HH AE N D AH L,M AE N HH AE N D AH L D
streamline,streamlined,S T R IY M L AY N,S T R IY M L AY N D
pioneer,pioneered,P AY AH N IH R,P AY AH N IH R D
tape,taped,T EY P,T EY P T
